item_name|latitude|longitude|restaurant_name|item_description|price
Big Mac|35.911425|-78.936518|McDonald's|Maybe it's the double layer of sear-sizzled 100% pure beef mingled with the sauce and melty cheese, the snap of the onion and the tart crunch of pickle. Or maybe it's just that it's tall. Either way, you so want one.|
Quarter Pounder with Cheese|35.911425|-78.936518|McDonald's|It's 100% pure beefy cheesiness. It tastes great, and it knows it. Two slices of melting cheese, a quarter pound of 100% pure beef and a toasted sesame seed bun. Really, what's not to love?|
Double Quarter Pounder with Cheese|35.911425|-78.936518|McDonald's|With two 1/4 pound 100% beef patties and two slices of American cheese, the DQPC grants all your burger wishes, times two.|
Hamburger|35.911425|-78.936518|McDonald's|Always delicious. Juicy 100% beef patty, tangy pickles, onions, ketchup and mustard all on a toasted bun.|
Cheeseburger|35.911425|-78.936518|McDonald's|A slice of melty American cheese on a juicy 100% beef patty, zippy pickles and onions, ketchup and mustard on a toasted bun.|
Double Cheeseburger|35.911425|-78.936518|McDonald's|We make it like we always have: two slices of golden American cheese with two 100% all-beef patties, pickles, onions, ketchup and mustard on a toasted bun.|
McDouble|35.911425|-78.936518|McDonald's|Take two. A slice of melty American cheese between two 100% beef patties, topped with pickles, onions, ketchup and mustard on a toasted bun|
Triple Cheeseburger|35.911425|-78.936518|McDonald's|Three 100% Pure Beef Patties With Absolutely No Fillers, Additives Or Preservatives, Simply Seasoned With A Pinch Of Salt And Pepper, And Topped With Tangy Pickles, Chopped Onions, Ketchup, Mustard And Two Slices Of Melty American Cheese.|
Chicken McNuggets|35.911425|-78.936518|McDonald's|Our tender, juicy, Chicken McNuggets are made with USDA-inspected white meat. They're tempura battered and cooked to golden perfection. Step up the fun with your choice of our delectable dipping sauces.|
Artisan Grilled Chicken Sandwich|35.911425|-78.936518|McDonald's|100% grilled chicken breast filet seasoned to perfection with ingredients like salt, garlic and parsley – seared in our kitchens, no preservatives added. Crisp leaf lettuce, fresh tomato, and a vinaigrette dressing. All atop our delectable artisan roll.|
Premium Buttermilk Crispy Chicken Deluxe Sandwich|35.911425|-78.936518|McDonald's|A tender, juicy, filet made with 100% chicken breast meat, real buttermilk and no artificial colors. Plus fresh tomato, crisp leaf lettuce and mayonnaise. All atop our delectable artisan roll.|
McChicken|35.911425|-78.936518|McDonald's|Famously crispy chicken topped with mayonnaise, shredded iceberg lettuce and served perfectly on a toasty bun. Show your taste buds some lovin’ with this local option.|
Filet-O-Fish|35.911425|-78.936518|McDonald's|Dive right in and enjoy our wild-caught fish from our sustainable fishery, topped with melty American cheese, creamy tartar sauce and served on a soft, steamed bun.|
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken|35.911425|-78.936518|McDonald's|A tender and juicy 100% crispy chicken breast filet made with real buttermilk and no artificial colors added. Tossed with approximately two and a half cups of veggies including crisp chopped romaine, baby spinach and baby kale plus grape tomatoes. Served with jack and cheddar cheeses and thick cut Applewood smoked bacon. Made just for you and served with Newman's Own Ranch Dressing.|
Premium Bacon Ranch Salad with Grilled Chicken|35.911425|-78.936518|McDonald's|Grilled, 100% chicken breast filet seasoned to perfection with ingredients like salt, garlic and parsley–seared in our kitchens, no preservatives added. Tossed with approximately two and a half cups of veggies including crisp chopped romaine, baby spinach and baby kale plus tasty grape tomatoes. Served with jack and cheddar cheeses, thick cut Applewood smoked bacon. Made just for you and served with Newman's Own Ranch Dressing.|
Premium Southwest Salad with Buttermilk Crispy Chicken|35.911425|-78.936518|McDonald's|A tender and juicy 100% crispy chicken breast filet made with real buttermilk and no artificial colors added. Plus fire-roasted corn, savory black beans, roasted tomatoes and poblano peppers with sprinkled cheddar and jack cheeses, chili-lime tortilla strips, cilantro and a fresh-sliced lime wedge–all atop a bed of crisp chopped romaine, baby spinach and baby kale. Made just for you and served with Newman's Own Southwest dressing.|
Premium Southwest Salad with Grilled Chicken|35.911425|-78.936518|McDonald's|Slices of 100% grilled chicken breast filet, seasoned to perfection with ingredients like salt, garlic and parsley– seared in our kitchens, no preservatives added. Fire-roasted corn, savory black beans, roasted tomatoes and poblano peppers with sprinkled cheddar and jack cheeses, chili-lime tortilla strips, cilantro and a fresh-sliced lime wedge–all atop crisp chopped romaine, baby spinach and baby kale. Made just for you and served with Newman's|
Side Salad|35.90099|-78.89107|Captain D's|A combination of crispy iceberg lettuce, shaved carrots and then topped with a fresh tomato wedge.|
World Famous Fries|35.911425|-78.936518|McDonald's|Golden on the outside, soft and fluffy on the inside. Made with quality potatoes and cooked in our Canola oil blend for zero grams of trans fat per serving. Now that's an epic bite.|
Apple Slices|36.010251|-78.922001|Subway|As delicious as our sandwiches are, they are even better when paired with the perfect side and drink. Our sides run from salty to sweet and from fit to indulgent. With such a variety of drinks to choose from, there's truly something for every taste.|
Cuties|35.911425|-78.936518|McDonald's|A fresh fruit choice to satisfy your citrus craving. Sweet and easy to peel. Not to mention an excellent source of vitamin C!|
Yoplait Go-GURT Strawberry Yogurt|35.911425|-78.936518|McDonald's|Made exclusively for McDonald’s, Yoplait Go-GURT Low Fat Strawberry Yogurt with 25% less sugar than the leading kids’ yogurt* is a good source of Vitamin D and calcium.|
Fruit 'N Yogurt Parfait|35.911425|-78.936518|McDonald's||
Vanilla Cone|35.911425|-78.936518|McDonald's|Sweet, creamy vanilla soft serve in a crispy cone. Because your day deserves a moment of sweetness.|
McCafé Chocolate Shake|35.911425|-78.936518|McDonald's|Our deliciously creamy reduced fat ice cream, chocolate syrup and topped with whipped cream and a cherry.|
McCafé Vanilla Shake|35.911425|-78.936518|McDonald's|The classic vanilla shake, made with our creamy reduced fat ice cream—topped off with whipped cream and a cherry.|
Hot Fudge Sundae|35.911425|-78.936518|McDonald's|Reduced fat soft serve vanilla ice cream, smothered in chocolatey fudge sauce. *Nuts optional|
McCafé Strawberry Shake|35.911425|-78.936518|McDonald's|Creamy reduced fat ice cream with strawberry flavored deliciousness—topped off with whipped cream and a cherry.|
McFlurry with M&M's®|35.911425|-78.936518|McDonald's|Reduced fat soft serve vanilla ice cream, with M&M's® candies swirled in. It's a moo-tiful partnership.|
Kiddie Cone|35.911425|-78.936518|McDonald's|Creamy reduced fat vanilla ice cream, in a crispy cone that's just right for little fingers.|
Hot Caramel Sundae|35.911425|-78.936518|McDonald's|Cool and creamy reduced fat soft serve ice cream meets warm, rich, buttery caramel. *Nuts optional|
Strawberry Sundae|35.911425|-78.936518|McDonald's|Creamy reduced fat vanilla ice cream, topped with sliced strawberries in a sweet and tart strawberry sauce. *Nuts optional|
McFlurry with OREO® Cookies|35.911425|-78.936518|McDonald's|Can our soft serve reduced fat ice cream get any better? Yes, when we mix in OREO® Cookies.|
Baked Apple Pie|35.911425|-78.936518|McDonald's|It's the tradition you love to uphold, with delicious apples lightly spiced with cinnamon, baked in flaky pastry.|
Strawberry & Crème Pie|35.911425|-78.936518|McDonald's|Made with strawberries and vanilla flavored crème, baked side by side in a sugar-coated crust.|
Chocolate Chip Cookie|35.89858|-78.8964|Papa John's|Add a sweet ending to your meal with Papa’s NEW irresistible family size Chocolate Chip Cookie. Filled with rich chocolate chips, baked fresh and cut into 8 slices, then served warm for you to enjoy.|
Oatmeal Raisin Cookie|35.911425|-78.936518|McDonald's|Made with crunchy oats and packed with raisins for sweetness. *available at participating restaurants.|
Cinnamon Coffee Cake Muffin|35.911425|-78.936518|McDonald's||
Fat Free Chocolate Milk Jug|35.911425|-78.936518|McDonald's|Chocolate fat free milk that delivers Calcium and Vitamin D.|
1% Low Fat Milk Jug|35.911425|-78.936518|McDonald's|Wholesome low fat milk, an excellent source of Calcium and Vitamin D|
POWERade® Mountain Berry Blast|35.911425|-78.936518|McDonald's|It's a blast of refreshment.|
Minute Maid Apple Juice Box|35.911425|-78.936518|McDonald's||
Dasani® Water|35.911425|-78.936518|McDonald's|Purified with minerals for sheer refreshment.|
Coca-Cola®|35.911425|-78.936518|McDonald's||
Diet Coke®|35.909693|-78.93154|Waffle House||
Dr Pepper®|35.911425|-78.936518|McDonald's|Refresh your spirit with the unrivaled taste of 23 flavors.|
Diet Dr Pepper®|35.911425|-78.936518|McDonald's|Only Diet Dr Pepper® has the original blend of 23 flavors with zero calories.|
Sprite®|35.909693|-78.93154|Waffle House||
Hi-C® Orange Lavaburst|35.911425|-78.936518|McDonald's|Refreshingly delicious orange taste.|
Iced Tea|35.9516811|-78.9931112|Duck Donuts|Our house-made iced tea is the coolest way to beat the heat! Sweetened or un-sweetened, you'll love our iced tea.|
Sweet Tea|35.911425|-78.936518|McDonald's|A briskly refreshing blend of orange pekoe and pekoe cut black tea, sweetened to perfection.|
McCafé Coffee|35.911425|-78.936518|McDonald's|Made with 100% Arabica beans and freshly brewed every 30 minutes.|
McCafé Latte|35.911425|-78.936518|McDonald's|Espresso made from 100% Arabica beans, steamed whole or nonfat milk and your choice of flavored syrups.|
McCafé Mocha|35.911425|-78.936518|McDonald's|Espresso made with 100% Arabica beans steamed with whole or nonfat milk, chocolate syrup, topped with whipped cream and a chocolate drizzle.|
McCafé Caramel Mocha|35.911425|-78.936518|McDonald's|Made from 100% Rainforest Alliance Certified espresso, steamed with whole or nonfat milk, chocolate and caramel syrup, topped with whipped cream and a caramel drizzle.|
McCafé Hot Chocolate|35.911425|-78.936518|McDonald's|Made with steamed whole or nonfat milk, rich chocolate syrup and topped with whipped cream and a chocolate drizzle.|
McCafé White Hot Chocolate|35.911425|-78.936518|McDonald's|Made with steamed whole or nonfat milk and rich white chocolate syrup and topped with whipped cream.|
McCafé Iced Coffee|35.911425|-78.936518|McDonald's|Refreshingly cool and made with 100% Arabica beans, cream and your choice of flavored syrups.|
McCafé Iced Mocha|35.911425|-78.936518|McDonald's|Iced espresso made with 100% Arabica beans, whole or nonfat milk and chocolate syrup, topped with whipped cream and a chocolate drizzle.|
McCafé Iced Caramel Mocha|35.911425|-78.936518|McDonald's|Iced espresso made with 100% Arabica beans, whole or nonfat milk, chocolate and caramel syrup, topped with whipped cream and a caramel drizzle.|
McCafé Frappé Mocha|35.911425|-78.936518|McDonald's|Made with irresistibly rich chocolate flavor and a hint of coffee blended with ice, topped with whipped cream and a chocolate drizzle.|
McCafé Frappé Caramel|35.911425|-78.936518|McDonald's|Rich caramel—plus a hint of coffee—blended with ice, topped with whipped cream and a caramel flavored drizzle.|
McCafé Frappé Chocolate Chip|35.911425|-78.936518|McDonald's|An indulgent combination of rich mocha, sweet caramel and a hint of coffee, with added chocolate chips, all blended to perfection. Topped with whipped cream plus a double drizzle of chocolate and caramel. Available for a limited time.|
McCafé Strawberry Banana Smoothie|35.911425|-78.936518|McDonald's|The perfect combination of strawberry and banana blended with ice and creamy low fat yogurt.|
McCafé Mango Pineapple Smoothie|35.911425|-78.936518|McDonald's|It‘s the ultimate cool down: sweet mango and juicy pineapple blended with creamy low fat yogurt and ice.|
McCafé Shamrock Shake|35.911425|-78.936518|McDonald's|Smooth and creamy mint flavored shake topped with whipped cream and a cherry. But only for a limited time.|
Egg McMuffin|35.911425|-78.936518|McDonald's||
Egg White Delight McMuffin|35.911425|-78.936518|McDonald's||
Sausage McMuffin|35.911425|-78.936518|McDonald's||
Sausage McMuffin with Egg|35.911425|-78.936518|McDonald's||
Bacon, Egg & Cheese Biscuit|35.911425|-78.936518|McDonald's||
Sausage Biscuit|35.911425|-78.936518|McDonald's||
Sausage Biscuit with Egg|35.911425|-78.936518|McDonald's||
Steak, Egg & Cheese Biscuit|35.911425|-78.936518|McDonald's||
Bacon, Egg & Cheese Mcgriddles®|35.911425|-78.936518|McDonald's|Soft, Warm Griddle Cakes With The Sweet Taste Of Maple Hold Our Thick-cut Applewood Smoked Bacon, A Fluffy Folded Egg, And A Slice Of Melty American Cheese. For A Different Taste, Try It With Freshly Grilled Egg Whites And Smooth White Cheddar*. *Pasteurized Process|
Sausage McGriddles®|35.911425|-78.936518|McDonald's|Soft, Warm Griddle Cakes With The Taste Of Sweet Maple Hold Our Savory, Sizzling Hot Sausage.|
